"Date","Price","Open","High","Low","Vol.","Change %"
"12/14/2021","12,975","12,970","12,995","12,950","1.63M","-1.44%"
"12/13/2021","13,165","13,175","13,195","13,150","964.71K","1.27%"
"12/10/2021","13,000","12,970","13,000","12,950","1.09M","-0.65%"
"12/09/2021","13,085","13,085","13,120","13,055","1.22M","0.08%"
"12/08/2021","13,075","13,030","13,100","13,020","1.41M","2.63%"
"12/07/2021","12,740","12,730","12,740","12,650","1.22M","1.03%"
"12/06/2021","12,610","12,590","12,610","12,565","1.59M","-1.48%"
"12/03/2021","12,800","12,755","12,800","12,685","1.61M","0.00%"
"12/02/2021","12,800","12,840","12,860","12,780","2.86M","-2.74%"
"12/01/2021","13,160","13,035","13,160","13,000","1.43M","0.65%"
"11/30/2021","13,075","13,230","13,230","13,030","1.65M","0.11%"
"11/29/2021","13,060","12,985","13,085","12,950","2.20M","-1.10%"
"11/26/2021","13,205","13,230","13,255","13,160","1.69M","-0.41%"
"11/25/2021","13,260","13,200","13,260","13,190","1.69M","0.76%"
"11/24/2021","13,160","13,160","13,180","13,115","1.79M","-0.45%"
"11/23/2021","13,220","13,255","13,255","13,195","2.28M","-1.16%"
"11/22/2021","13,375","13,345","13,395","13,315","2.61M","0.91%"
"11/19/2021","13,255","13,125","13,255","13,125","2.37M","2.28%"
"11/18/2021","12,960","12,925","12,960","12,905","1.56M","0.54%"
"11/17/2021","12,890","12,910","12,920","12,865","1.11M","0.66%"
"11/16/2021","12,805","12,815","12,830","12,760","1.29M","0.00%"
"11/15/2021","12,805","12,805","12,850","12,790","1.17M","1.03%"
"11/12/2021","12,675","12,690","12,705","12,640","1.90M","0.00%"
"11/11/2021","12,675","12,685","12,710","12,655","2.07M","-0.98%"
"11/10/2021","12,800","12,810","12,810","12,775","2.05M","-1.04%"
"11/09/2021","12,935","13,025","13,045","12,910","2.58M","-0.50%"
"11/08/2021","13,000","13,005","13,025","12,985","2.18M","-0.27%"
"11/05/2021","13,035","12,955","13,035","12,795","3.09M","1.88%"
"11/04/2021","12,795","12,740","12,795","12,720","2.34M","1.63%"
"11/03/2021","12,590","12,540","12,595","12,505","1.90M","0.84%"
